            bjd              rv           rverr             tel 
  2453107.29171         0.69265         3.27249          HIDESS 
  2453214.20328        18.92808         5.83408          HIDESS 
  2453307.03872        -5.03361         3.51141          HIDESS 
  2453499.26989         0.85659         5.33961          HIDESS 
  2453608.20038       -21.35321         4.39982          HIDESS 
  2453692.95890         3.73602         3.54283          HIDESS 
  2453853.28047        -0.29873         5.49730          HIDESS 
  2454022.02643       -13.59105         3.29161          HIDESS 
  2454171.35110       -12.29620         4.10585          HIDESS 
  2454416.94410       -13.11164         4.07402          HIDESS 
  2454416.94410       -13.11164         4.07402          HIDESS 
  2454673.17000        16.13756         3.70666          HIDESS 
  2454984.24392         4.84082         3.54143          HIDESS 
  2455165.96382       -10.19166         3.98352          HIDESS 
  2455350.19416        -7.41689         3.55175          HIDESS 
  2455503.95871        15.18357         3.54129          HIDESS 
  2455790.05568       -13.60022         4.40477          HIDESS 
  2456141.16234        -5.37239         4.09299          HIDESS 
  2456417.28919        -1.22280         3.20912          HIDESS 
  2456418.25204         4.08826         3.36654          HIDESS 
  2456419.26905         6.01990         3.87534          HIDESS 
  2456438.27832        -7.06594         4.30608          HIDESS 
  2456438.28756        -6.01705         5.29518          HIDESS 
  2456444.20804        -9.80760         3.33868         HIDESF1 
  2456447.27801       -11.20928         3.96414          HIDESS 
  2456507.10086         8.73232         4.37014          HIDESS 
  2456514.03194        12.00484         3.99119         HIDESF1 
  2456517.02751        11.26960         3.81503         HIDESF1 
  2456520.03729        10.40668        10.31528         HIDESF1 
  2456551.99958         7.61080         3.99095          HIDESS 
  2456552.96583        13.93671         3.19877         HIDESF1 
  2456578.09502        18.01844         4.21108          HIDESS 
  2456578.93201        19.88390         3.75154          HIDESS 
  2456579.99315        12.33488         3.33174          HIDESS 
  2456594.92938        13.94625         3.20822         HIDESF1 
  2456595.94409        14.84274         3.00355         HIDESF1 
  2456604.87186        11.97100         3.15494         HIDESF1 
  2456605.92791        14.64169         3.44490         HIDESF1 
  2456607.91699        13.25539         3.51433         HIDESF1 
  2456608.97448        14.40168         4.23810         HIDESF1 
  2456609.89872        10.88749         3.39793         HIDESF1 
  2456614.92548        11.29036         3.58322         HIDESF1 
  2456617.88693         2.03379         3.36217          HIDESS 
  2456618.88804        10.14296         3.58199          HIDESS 
  2456624.91053        12.01349         4.01072         HIDESF1 
  2456637.88427        -6.25917         4.82798         HIDESF1 
  2456647.88566        -2.62891         3.98476         HIDESF1 
  2456735.32422       -13.61946         4.34807         HIDESF1 
  2456738.33054       -16.09071         3.34492         HIDESF1 
  2456799.31439        -7.15371         4.57564          HIDESS 
  2456800.30533       -18.02472         4.15915          HIDESS 
  2456856.09657       -16.50409         4.40511         HIDESF1 
  2456861.13226        -4.76581         5.19616         HIDESF1 
  2456862.13826        -5.83925         4.21741         HIDESF1 
  2456863.16110        -3.09844         4.13014         HIDESF1 
  2456891.12750        -9.65377         3.79386          HIDESS 
  2456908.03355       -12.77133         3.86711         HIDESF1 
  2456931.97853        -8.49601         4.02618          HIDESS 
  2456931.99145       -14.55781         3.66283          HIDESS 
  2456947.00268        -5.61427         3.12468         HIDESF1 
  2456947.89925        -3.41469         2.76285         HIDESF1 
  2456964.96596        -3.04504         3.39872         HIDESF1 
  2456971.92606        -2.18146         3.42129          HIDESS 
  2456973.91270        -3.66606         3.14320          HIDESS 
  2456990.88705       -13.82455         4.16428         HIDESF1 
  2457000.88930        -0.83785         3.65099         HIDESF1 
  2457003.88547        -0.90698         4.71616         HIDESF1 
  2457005.88556        -8.90799         3.66449         HIDESF1 
  2457007.86355        -0.03732         4.36233         HIDESF1 
  2457016.86888        -5.57518         4.48463         HIDESF1 
  2457054.37207         0.60437         3.71509         HIDESF1 
  2457066.37409         6.19822         5.33810         HIDESF1 
  2457068.38272         9.57992         4.51885         HIDESF1 
  2457087.36849        11.60185         3.79200         HIDESF1 
  2457092.36456         4.26174         3.55601         HIDESF1 
  2457107.32893        16.64170         3.28223         HIDESF1 
  2457128.29678        12.86881         4.76756         HIDESF1 
  2457130.32136         5.47974         3.08743         HIDESF1 
  2457134.29856        13.98177         4.45408          HIDESS 
  2457136.29174        11.81787         3.06493          HIDESS 
  2457140.25966         6.46828         4.50631         HIDESF1 
  2457169.18994        11.89105         3.37414         HIDESF1 
  2457172.17897        19.26638         3.31441         HIDESF1 
  2457174.24474        16.87496         3.31442         HIDESF1 
  2457234.10934        12.77768         3.09521          HIDESS 
  2457236.20538        21.06122         3.43611         HIDESF1 
  2457246.02299        -0.29509         5.12310         HIDESF1 
  2457261.96813        -5.88176         3.87419         HIDESF1 
  2457283.99746       -15.51107         2.89590         HIDESF1 
  2457303.94781       -13.26356         3.80822         HIDESF1 
  2457305.01917       -13.64248         3.03107         HIDESF1 
  2457318.91551       -17.07646         4.21957         HIDESF1 
  2457321.90716       -13.56851         3.95328         HIDESF1 
  2457323.87887       -12.99698         3.22258         HIDESF1 
  2457331.99627       -17.36161         2.84215         HIDESF1 
  2457352.89086       -33.31290         3.37972         HIDESF1 
  2457475.34661        11.33533         3.03672         HIDESF1 
  2457476.31129        15.76757         3.72436         HIDESF1 
  2457511.28369        10.26167         5.52602          HIDESS 
  2457513.19715         7.36258         3.23279          HIDESS 
  2457521.26652         5.84130         3.26752         HIDESF1 
  2457522.27401        13.85088         3.28018         HIDESF1 
  2457542.27910        -3.98385         3.60447         HIDESF1 
  2457545.13468       -12.20938         4.68379         HIDESF1 
  2457591.10861       -26.69599         6.29726         HIDESF1 
  2457593.07583       -11.52687         3.42390         HIDESF1 
  2457625.18803       -21.05322         4.29976         HIDESF1 
  2457626.08510       -24.75403         4.70332         HIDESF1 
  2457663.08569       -21.79432         3.12597         HIDESF1 
  2457676.01477        -9.74397         3.00435         HIDESF1 
  2457687.94980        -4.64470         3.18122         HIDESF1 
  2457721.88476        -4.45277         3.34076         HIDESF1 
  2457838.35400       -19.21423         3.96140         HIDESF1 
  2457888.29366        -7.02444         3.51172         HIDESF1 
  2457895.29710        -8.48344         3.87897         HIDESF1 
  2457905.15468        -6.74659         4.38673         HIDESF1 
  2457923.08981        -5.05382         3.42481         HIDESF1 
  2457949.04044        -4.94992         4.10959         HIDESF1 
  2457961.13348         8.66652         6.20114         HIDESF1 
  2457986.03431         3.55212         4.52384         HIDESF1 
  2458010.04564        26.61426        11.31225         HIDESF1 
  2458036.03767        14.79951         3.40589         HIDESF1 
  2458058.93368        23.49311         2.92555         HIDESF1 
  2458073.86611        19.78435         3.22843         HIDESF1 
  2458092.90132        23.11654         4.46000         HIDESF1 
  2458547.34713        -4.47828         4.48502         HIDESF2 
  2458556.32924        -3.60850         4.91009         HIDESF2 
  2458559.32727        -7.58905         6.49684         HIDESF2 
  2458577.32040         4.46745         3.48358         HIDESF2 
  2458578.33300         4.86369         4.85547         HIDESF2 
  2458580.28008         1.07886         4.16857         HIDESF2 
  2458616.14876        -0.22218         4.72229         HIDESF2 
  2458652.15758        -8.01813         5.35465         HIDESF2 
  2458680.17259        -4.25015         4.94986         HIDESF2 
  2458686.09618        -4.95583         5.53282         HIDESF2 
  2458701.10895         9.32516        10.03781         HIDESF2 
  2458706.01852       -12.86107         5.62804         HIDESF2 
  2458712.02228        -1.10286         5.01245         HIDESF2 
  2458721.05093        -5.18839         5.37821         HIDESF2 
  2458732.95685       -10.51105         5.09542         HIDESF2 
  2458740.93237        -2.95654         4.33798         HIDESF2 
  2458741.96685        -4.32443         4.53925         HIDESF2 
  2458743.07054        -6.29033         5.80457         HIDESF2 
