       starname             bjd              rv           rverr            fwhm             bis          biserr              sh           sherr             qsh             tel 
          HD360   2453028.89377       -67.43331         4.51039             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453285.16264       -67.82505         3.87804             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453362.99771       -23.31345         4.26712             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453401.91693       -10.95254         6.22790             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453579.22580       -80.50446         4.04157             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453600.25974       -70.62444         4.28948             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453635.23502       -34.10686         6.13670             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453693.08193       -32.67920         4.61569             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453730.91473        -1.94046         4.57665             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2453963.23216        30.35789         4.31721             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2454023.07888        -7.47657         4.05399             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2454054.08179         2.01133         3.69698             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2454091.95061       -27.56142         4.36052             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2454339.21052       -23.46296         4.05960             nan             nan             nan             nan             nan             nan          HIDESS 
          HD360   2454460.95345        21.14197         3.74656         9.47277       251.00139         9.35205         0.19949         0.06298         1.00000          HIDESS 
          HD360   2454466.87954        -5.62307         3.58359         9.54051       196.88335         7.48989         0.14358         0.02581         1.00000          HIDESS 
          HD360   2454496.92107        13.68605         4.68761         9.48270       230.90269         9.21736         0.11570         0.02975         1.00000          HIDESS 
          HD360   2454703.27752       -10.40682         3.74137         9.50437       221.46519        15.01134         0.23563         0.12954         0.00000          HIDESS 
          HD360   2454820.95887         3.20621         4.30877         9.45406       231.44342        11.42197         0.01354         0.00589         1.00000          HIDESS 
          HD360   2455162.02726        31.80181         3.81611         9.43479       225.74518         8.01893         0.22767         0.08379         1.00000          HIDESS 
          HD360   2455185.89383        -9.45738         4.22296         9.43733       181.45610         7.46350         0.11997         0.02525         1.00000          HIDESS 
          HD360   2455440.26089        18.66454         4.37042         9.41857       204.66585         8.98303         0.04491         0.01933         1.00000          HIDESS 
          HD360   2455506.12942        -5.05028         4.39750         9.45352       229.81091        18.52206         0.17814         0.16716         0.00000          HIDESS 
          HD360   2455587.90553        11.86481         5.01733         9.34549       181.47936        12.40283         0.11629         0.12697         0.00000          HIDESS 
          HD360   2455938.88288        37.06384         3.23760         9.45631       222.86710         8.05167         0.10876         0.03787         1.00000          HIDESS 
          HD360   2456514.16092         1.72858         4.72726             nan             nan             nan             nan             nan             nan         HIDESF1 
          HD360   2456515.18029        -1.64718         4.06038         9.78145       166.41149         9.40222             nan             nan             nan         HIDESF1 
          HD360   2456517.28194         1.44501         4.22936         9.79323       163.40936         7.86083             nan             nan             nan         HIDESF1 
          HD360   2456534.11618       -30.47803         4.25516         9.80971       150.19636         7.35637             nan             nan             nan         HIDESF1 
          HD360   2456552.14268        33.23842         3.58290         9.42888       180.02648         5.32651         0.11288         0.02292         1.00000          HIDESS 
          HD360   2456553.10773       -23.62986         3.82044         9.82893       155.92056         6.02701             nan             nan             nan         HIDESF1 
          HD360   2456576.10308        -8.98993         4.48967         9.44526       210.64802        11.43558         0.10031         0.03811         1.00000          HIDESS 
          HD360   2456577.11590        23.70411         4.57177         9.46374       207.54547        14.30521         0.13390         0.06155         1.00000          HIDESS 
          HD360   2456578.08650        31.26131         5.35487         9.36995       215.93094        15.37542         0.13977         0.05266         1.00000          HIDESS 
          HD360   2456595.02205         3.56140         4.90296         9.79984       188.22957        13.74056             nan             nan             nan         HIDESF1 
          HD360   2456596.05079         9.81188         4.34487         9.78504       175.01711         9.64359             nan             nan             nan         HIDESF1 
          HD360   2456604.96256       -24.88875         4.17143         9.76949       155.97176         7.35179             nan             nan             nan         HIDESF1 
          HD360   2456605.95636       -16.49870         4.43414         9.72873       181.88283        18.46615             nan             nan             nan         HIDESF1 
          HD360   2456607.99336       -37.06193         4.25902         9.73211       158.54891         7.29782             nan             nan             nan         HIDESF1 
          HD360   2456615.08205       -23.48253         4.36472         9.74196       166.80751        11.52538             nan             nan             nan         HIDESF1 
          HD360   2456617.96094        16.06283         3.51190         9.41647       184.28604         8.51258         0.55738         0.10469         0.00000          HIDESS 
          HD360   2456625.97617       -13.27248         3.67113         9.82028       165.99251         8.05996             nan             nan             nan         HIDESF1 
          HD360   2456627.02889       -23.17779         3.23705         9.81745       158.47439         7.40084             nan             nan             nan         HIDESF1 
          HD360   2456628.03241        -4.22549         3.05223         9.76198       171.12532         7.23499             nan             nan             nan         HIDESF1 
          HD360   2456638.98358        -0.92972         2.99555         9.79160       176.69882         9.50282             nan             nan             nan         HIDESF1 
          HD360   2456650.96269       -22.41182         3.78074         9.80490       180.31332         9.59476             nan             nan             nan         HIDESF1 
          HD360   2456663.96313        -2.20778         3.19551         9.80666       165.82656         9.51300             nan             nan             nan         HIDESF1 
          HD360   2456666.93814        37.97746         4.81132         9.44626       186.14651        11.71584         0.15773         0.07700         1.00000          HIDESS 
          HD360   2456672.93069        -0.41183         3.10714         9.79638       150.43179         7.87142             nan             nan             nan         HIDESF1 
          HD360   2456678.89720       -18.33973         3.62635         9.86852       167.51349         9.79528             nan             nan             nan         HIDESF1 
          HD360   2456680.87812       -12.97575         3.68425         9.84487       162.61524         7.84072             nan             nan             nan         HIDESF1 
          HD360   2456855.28230       -28.62610         3.70551         9.79473       176.25239         5.53969             nan             nan             nan         HIDESF1 
          HD360   2456863.23000       -17.80672         4.07125         9.79727       171.26698         5.34038             nan             nan             nan         HIDESF1 
          HD360   2456864.28398       -27.33990         4.20457         9.78267       180.29918         7.27743             nan             nan             nan         HIDESF1 
          HD360   2456887.29402       -19.66065         5.37884         9.86288       138.98371         6.99713             nan             nan             nan         HIDESF1 
          HD360   2456908.07236        -5.80263         3.69644         9.78389       165.20012         7.74123             nan             nan             nan         HIDESF1 
          HD360   2456932.14901        56.13805         4.35758         9.37547       189.30253        10.90862         0.09047         0.03139         1.00000          HIDESS 
          HD360   2456947.03065         9.91128         3.94798         9.72245       169.30293         8.17725             nan             nan             nan         HIDESF1 
          HD360   2456948.03132         9.88703         3.55296         9.78673       170.19544         7.02921             nan             nan             nan         HIDESF1 
          HD360   2456965.10360         8.42016         4.02489         9.74273       169.05087         9.40335             nan             nan             nan         HIDESF1 
          HD360   2456972.14848        24.45599         4.62022         9.44169       192.90841        16.23936         0.16363         0.10480         1.00000          HIDESS 
          HD360   2456973.95831        30.38515         3.99705         9.47874       166.76082         7.66561         0.09900         0.03105         1.00000          HIDESS 
          HD360   2456990.95490        17.36665         3.27055         9.77921       171.17707         8.03557             nan             nan             nan         HIDESF1 
          HD360   2457000.94114        17.78389         2.80778         9.80377       144.78529         5.22647             nan             nan             nan         HIDESF1 
          HD360   2457003.98866        24.96017         3.63518         9.76200       152.21176         7.41329             nan             nan             nan         HIDESF1 
          HD360   2457005.97836         8.91588         3.09190         9.80785       148.66910         5.63075             nan             nan             nan         HIDESF1 
          HD360   2457016.88457        15.37847         3.49554         9.75949       141.07539         6.96669             nan             nan             nan         HIDESF1 
          HD360   2457028.90662         5.18061         2.79075         9.79900       156.46261         6.58739             nan             nan             nan         HIDESF1 
          HD360   2457053.89593         8.95689         4.22711         9.77949       146.24730         9.80968             nan             nan             nan         HIDESF1 
          HD360   2457235.23527        23.68384         3.94962         9.78371       167.19960         7.07972             nan             nan             nan         HIDESF1 
          HD360   2457237.25772        30.01250         3.74183         9.80981       168.78494         6.28747             nan             nan             nan         HIDESF1 
